host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23094721,4,32,1.39042,103.90796,2,108,2,0,-1,-1.0,1,358
23127807,1,5,1.27804,103.80806,3,81,1,0,-1,-1.0,1,0
6727323,4,12,1.3448,103.86144,2,67,3,42,20190811,0.72,3,40
4705949,3,4,1.32899,103.94787,2,119,3,39,20190519,0.67,13,78
23276884,4,12,1.38785,103.8694,3,81,84,9,20180731,0.16,1,88
23336011,1,22,1.29561,103.8543,3,181,7,40,20190817,0.69,40,358
20883050,1,7,1.31017,103.88253,2,60,1,49,20190812,0.85,37,304
8786227,1,5,1.2843,103.83254,3,181,2,14,20160515,0.25,1,0
23466247,1,20,1.30706,103.86326,2,131,30,6,20180602,0.11,2,365
1644940,1,21,1.3218,103.84266,2,69,1,15,20190825,0.26,2,211
14521708,1,7,1.31528,103.88817,3,87,5,19,20190430,0.33,67,74
8492007,1,21,1.3258,103.85426,3,201,3,9,20180515,0.16,203,275
22316022,1,16,1.28272,103.84707,2,160,180,0,-1,-1.0,1,365
9653330,1,10,1.30211,103.85189,3,287,2,152,20190827,2.65,3,217
11390076,1,15,1.34151,103.84163,2,75,3,15,20190722,0.35,18,256
23336011,1,22,1.28895,103.85033,3,150,7,117,20190820,2.02,40,364
10776798,2,23,1.34713,103.77272,2,50,1,4,20190726,0.13,4,335
20883050,1,7,1.30972,103.88266,2,60,1,63,20190811,1.09,37,348
23314147,1,8,1.29702,103.84145,2,119,2,1,20150101,0.02,1,0
14521708,1,7,1.31368,103.88597,3,85,4,49,20190804,0.89,67,67
1535384,2,30,1.37986,103.75087,2,37,180,0,-1,-1.0,1,0
23722617,1,7,1.31316,103.88735,3,94,15,73,20190731,1.27,84,64
23759728,5,1,1.42798,103.78508,3,165,30,5,20180803,0.1,1,365
20883050,1,7,1.31161,103.88143,2,90,2,82,20190807,1.43,37,358
23772720,3,4,1.31387,103.93484,3,168,4,3,20180610,0.05,4,304
19925548,1,11,1.30489,103.78451,2,81,1,2,20150914,0.04,1,0
8098719,1,8,1.29238,103.83978,3,287,4,3,20160211,0.05,1,0
23722617,1,7,1.31307,103.88623,3,119,10,23,20190217,0.4,84,88
23722617,1,7,1.31464,103.88642,3,85,4,80,20190813,1.4,84,55
23722617,1,7,1.3145,103.88607,3,94,5,76,20190803,1.32,84,75
10028971,1,7,1.32962,103.88684,2,49,1,0,-1,-1.0,1,0
24025713,1,8,1.29887,103.83603,2,146,1,0,-1,-1.0,1,365
20883050,1,7,1.31102,103.88139,2,60,1,36,20190421,0.63,37,365
20883050,1,7,1.3096,103.88166,2,60,1,57,20190726,0.99,37,352
20883050,1,7,1.31045,103.88148,2,60,1,39,20190811,0.69,37,353
7095710,1,16,1.28175,103.84433,3,132,2,74,20190812,1.31,12,341
6609641,1,18,1.31761,103.8264,3,319,7,18,20190427,0.32,19,356
3907723,2,33,1.29882,103.76499,3,181,2,2,20150724,0.04,1,0
24353373,4,26,1.36573,103.83874,2,56,14,2,20160516,0.04,1,88
16274267,1,11,1.30008,103.79455,3,269,5,1,20141229,0.02,1,0
23994004,5,29,1.45328,103.82199,2,19,180,0,-1,-1.0,1,365
2227440,3,14,1.36687,103.95896,3,250,4,0,-1,-1.0,1,0
24532432,1,13,1.29704,103.8886,3,215,4,5,20150827,0.09,1,0
12204719,3,4,1.31217,103.91206,2,65,90,51,20190407,1.21,1,85
7044509,1,28,1.29929,103.84774,2,110,90,4,20160731,0.09,2,281
228867,2,9,1.34294,103.71752,2,50,3,1,20160801,0.03,7,362
228867,2,9,1.34147,103.71788,2,75,1,1,20150929,0.02,7,365
8527085,1,6,1.30479,103.83518,3,281,2,21,20190804,0.41,38,358
3523910,2,33,1.3311,103.76794,2,99,5,6,20190316,0.3,3,284
3523910,1,2,1.33108,103.76853,2,78,5,27,20180816,0.54,3,307
3523910,1,2,1.33179,103.7664,2,87,5,18,20181003,0.36,3,269
8527085,1,25,1.30352,103.83483,3,319,1,13,20190805,0.27,38,358
3951127,1,22,1.27414,103.84596,3,200,70,3,20170820,0.06,3,364
8948251,1,16,1.2851,103.84195,2,42,90,1,20161201,0.03,83,365
8948251,1,16,1.28614,103.8421,2,99,90,2,20180201,0.07,83,326
25215454,1,15,1.33305,103.87235,1,46,180,0,-1,-1.0,1,365
23722617,1,7,1.31481,103.88611,3,119,14,19,20190311,0.35,84,89
22267033,1,25,1.3069,103.83188,2,125,1,0,-1,-1.0,1,0
25375339,1,35,1.35418,103.8336,2,60,1,3,20190802,0.23,9,356
25375339,1,20,1.31536,103.86045,2,150,1,0,-1,-1.0,9,364
20883050,1,7,1.31114,103.88278,2,90,1,150,20190812,2.68,37,337
25418061,1,16,1.28508,103.84292,1,25,2,0,-1,-1.0,1,0
25422497,4,19,1.349,103.88105,2,35,10,6,20180113,0.17,7,365
3507099,1,16,1.28361,103.84276,2,58,90,168,20190729,2.99,2,126
23722617,1,8,1.29582,103.84221,3,119,28,6,20190327,0.12,84,50
23336011,1,24,1.2873,103.84894,3,186,7,85,20190815,1.56,40,363
25668648,3,4,1.32995,103.94201,2,1000,1,0,-1,-1.0,1,358
6609641,1,18,1.31671,103.82831,3,144,7,18,20190430,0.33,19,0
